Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
W.S. CENTRAL,2014,36,158,,145,,724,,3976,,4174,,4,,16,,50,,537,,462,,24,,67,,463,,2122,,1636,,,
MOUNTAIN,2014,36,14,,51,,148,,1682,,2207,,7,,8,,23,,298,,612,,4,,12,,43,,377,,402,,,
PACIFIC,2014,36,35,,122,,224,,3914,,4294,,,-,15,,55,,495,,725,,4,,23,,54,,762,,764,,,
AMER. SAMOA,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,36,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,36,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
COLORADO,2014,36,,-,10,,20,,345,,477,,,-,1,,9,,38,,138,,,-,1,,12,,49,,55,,"COLORADO
(38.84384201300048, -106.13360888799969)",
MASSACHUSETTS,2014,36,,-,17,,44,,693,,888,,,-,1,,6,,56,,81,,,-,2,,9,,95,,125,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
GEORGIA,2014,36,28,,32,,100,,1228,,1399,,,-,2,,7,,70,,94,,8,,19,,34,,559,,478,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
AMER. SAMOA,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
UTAH,2014,36,6,,6,,17,,259,,233,,,-,1,,5,,50,,69,,,-,0,,2,,19,,18,,"UTAH
(39.36070082200047, -111.5871285339997)",
MISSISSIPPI,2014,36,,-,11,,46,,535,,596,,,-,0,,3,,21,,23,,,-,5,,12,,152,,121,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
MINNESOTA,2014,36,,-,0,,22,,,-,581,,,-,0,,14,,,-,234,,,-,0,,6,,,-,95,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
NEBRASKA,2014,36,,-,4,,12,,141,,225,,,-,1,,7,,65,,64,,,-,1,,13,,102,,46,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
OKLAHOMA,2014,36,24,,14,,151,,506,,432,,,-,2,,12,,84,,68,,2,,1,,41,,40,,132,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
MICHIGAN,2014,36,6,,17,,49,,669,,695,,1,,2,,12,,85,,129,,,-,3,,19,,192,,120,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
CONNECTICUT,2014,36,,-,7,,22,,301,,330,,,-,1,,5,,32,,52,,,-,1,,5,,29,,38,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
PUERTO RICO,2014,36,,-,8,,28,,247,,436,,,-,0,,2,,4,,3,,,-,0,,1,,3,,3,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
KENTUCKY,2014,36,11,,10,,27,,413,,375,,1,,1,,6,,61,,84,,,-,2,,15,,138,,46,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
NEVADA,2014,36,,-,3,,86,,92,,356,,,-,1,,5,,21,,47,,,-,0,,7,,20,,32,,"NEVADA
(39.493242807000456, -117.07183978499972)",
INDIANA,2014,36,,-,12,,34,,415,,497,,,-,2,,9,,65,,83,,,-,4,,54,,647,,72,,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEW HAMPSHIRE,2014,36,,-,3,,9,,113,,152,,,-,0,,2,,8,,21,,,-,0,,2,,10,,6,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
WYOMING,2014,36,,-,1,,4,,31,,57,,,-,0,,5,,11,,20,,,-,1,,6,,59,,3,,"WYOMING
(43.235543013000495, -108.10982744299969)",
GUAM,2014,36,,-,0,,1,,,-,14,,,-,1,,4,,,-,68,,,-,0,,1,,,-,6,,"GUAM
(13.480998894000436, 144.73149801400064)",
HAWAII,2014,36,1,,5,,13,,189,,233,,,-,0,,4,,8,,20,,,-,0,,2,,11,,30,,"HAWAII
(21.304853205000427, -157.85774691599974)",
LOUISIANA,2014,36,17,,22,,48,,706,,822,,,-,0,,2,,10,,15,,,-,4,,29,,112,,265,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
NORTH CAROLINA,2014,36,,-,24,,181,,981,,1059,,,-,1,,5,,26,,50,,11,,4,,119,,362,,104,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
ALABAMA,2014,36,4,,19,,80,,711,,618,,,-,0,,3,,33,,43,,2,,6,,13,,193,,185,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
TEXAS,2014,36,94,,89,,543,,2394,,2522,,4,,11,,40,,380,,322,,18,,46,,393,,1264,,1097,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NEW MEXICO,2014,36,,-,5,,15,,184,,268,,,-,0,,6,,33,,28,,,-,1,,5,,32,,34,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
MAINE,2014,36,1,,2,,5,,81,,98,,,-,0,,3,,23,,23,,,-,0,,2,,13,,4,,"MAINE
(45.2542257390005, -68.98502952999962)",
RHODE ISLAND,2014,36,1,,2,,8,,80,,90,,,-,0,,2,,4,,,-,,-,0,,14,,24,,218,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
WASHINGTON,2014,36,26,,10,,47,,451,,449,,,-,3,,31,,119,,164,,3,,2,,12,,103,,67,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
TENNESSEE,2014,36,25,,15,,36,,629,,577,,,-,2,,9,,101,,96,,10,,18,,50,,558,,189,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
PENNSYLVANIA,2014,36,28,,23,,58,,904,,1187,,,-,3,,11,,104,,181,,1,,2,,7,,85,,103,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
OHIO,2014,36,34,,21,,46,,836,,841,,3,,3,,15,,129,,157,,15,,10,,22,,420,,548,,"OHIO
(40.06021184000048, -82.40425685299965)",
WEST VIRGINIA,2014,36,3,,3,,11,,118,,145,,,-,0,,3,,12,,23,,,-,0,,2,,5,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
VIRGINIA,2014,36,13,,19,,41,,624,,664,,,-,2,,6,,66,,79,,,-,3,,8,,109,,59,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
CALIFORNIA,2014,36,,-,93,,177,,2962,,3256,,,-,8,,36,,267,,416,,,-,20,,54,,614,,632,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MISSOURI,2014,36,19,,14,,37,,500,,600,,2,,3,,10,,132,,212,,26,,4,,61,,640,,45,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEW YORK,2014,36,20,,21,,76,,880,,876,,4,,4,,12,,119,,149,,4,,4,,29,,127,,183,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
MONTANA,2014,36,1,,2,,7,,87,,69,,1,,1,,4,,26,,36,,,-,0,,10,,9,,26,,"MONTANA
(47.06652759400049, -109.42441687999968)",
SOUTH CAROLINA,2014,36,16,,20,,78,,807,,721,,,-,0,,2,,8,,5,,1,,2,,9,,80,,78,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
ILLINOIS,2014,36,,-,28,,65,,973,,1283,,,-,3,,9,,89,,226,,,-,7,,34,,341,,220,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
IOWA,2014,36,1,,8,,24,,326,,437,,,-,2,,13,,138,,141,,,-,6,,45,,136,,50,,"IOWA
(42.469401477000474, -93.81648936699969)",
DELAWARE,2014,36,,-,2,,10,,86,,79,,,-,0,,2,,8,,9,,1,,1,,4,,43,,3,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
ARIZONA,2014,36,3,,17,,34,,569,,654,,,-,1,,10,,49,,209,,4,,6,,29,,181,,228,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
WISCONSIN,2014,36,,-,13,,29,,415,,673,,,-,2,,13,,76,,175,,1,,2,,20,,210,,30,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MARYLAND,2014,36,22,,14,,49,,596,,586,,1,,1,,8,,50,,42,,12,,3,,11,,166,,72,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NEW YORK CITY,2014,36,27,,18,,40,,660,,804,,5,,1,,5,,49,,68,,7,,6,,13,,203,,223,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH DAKOTA,2014,36,,-,2,,10,,100,,133,,,-,0,,3,,21,,35,,,-,10,,32,,421,,5,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
VERMONT,2014,36,2,,1,,6,,63,,56,,1,,0,,2,,10,,17,,,-,0,,1,,1,,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
NEW JERSEY,2014,36,,-,17,,46,,543,,788,,,-,1,,7,,33,,107,,,-,2,,6,,81,,103,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
IDAHO,2014,36,4,,3,,7,,115,,93,,6,,2,,8,,70,,65,,,-,0,,3,,8,,6,,"IDAHO
(43.68263160000049, -114.3637261449997)",
ARKANSAS,2014,36,23,,14,,36,,370,,398,,,-,2,,6,,63,,57,,4,,9,,198,,706,,142,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
FLORIDA,2014,36,153,,115,,228,,3547,,3536,,2,,2,,9,,107,,80,,22,,40,,96,,1733,,499,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NORTH DAKOTA,2014,36,,-,1,,7,,63,,83,,,-,0,,3,,22,,31,,,-,0,,2,,17,,12,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
KANSAS,2014,36,,-,7,,16,,233,,312,,,-,1,,7,,62,,71,,,-,0,,4,,34,,35,,"KANSAS
(38.3477418760005, -98.20077655499966)",
OREGON,2014,36,8,,6,,20,,258,,290,,,-,2,,14,,101,,125,,1,,1,,5,,31,,34,,"OREGON
(44.56745218600048, -120.15502977999972)",
ALASKA,2014,36,,-,1,,6,,54,,66,,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
UNITED STATES,2014,37,706,,875,,1466,,30359,,34166,,59,,95,,195,,3380,,4848,,191,,321,,741,,11679,,7242,,,
NEW ENGLAND,2014,37,4,,32,,81,,1382,,1676,,3,,3,,15,,141,,196,,,-,5,,19,,179,,401,,,
MID. ATLANTIC,2014,37,95,,89,,162,,3103,,3817,,18,,10,,25,,328,,530,,19,,15,,37,,531,,632,,,
E.N. CENTRAL,2014,37,42,,92,,176,,3469,,4133,,4,,12,,33,,458,,791,,11,,28,,116,,1919,,1016,,,
W.N. CENTRAL,2014,37,6,,40,,84,,1439,,2448,,,-,12,,31,,457,,813,,4,,34,,80,,1367,,303,,,
S. ATLANTIC,2014,37,253,,231,,506,,8431,,8630,,7,,10,,19,,363,,397,,52,,75,,162,,3151,,1371,,,
DIST. OF COL.,2014,37,,-,0,,3,,18,,43,,,-,0,,1,,3,,4,,,-,0,,4,,30,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,37,34,,56,,150,,2365,,2287,,6,,5,,15,,226,,248,,10,,34,,66,,1071,,577,,,
W.S. CENTRAL,2014,37,172,,145,,724,,4195,,4397,,10,,16,,50,,548,,476,,60,,67,,463,,2195,,1699,,,
MOUNTAIN,2014,37,29,,53,,148,,1782,,2273,,6,,8,,23,,322,,629,,10,,13,,43,,418,,432,,,
PACIFIC,2014,37,71,,122,,224,,4193,,4505,,5,,16,,55,,537,,768,,25,,24,,54,,848,,811,,,
AMER. SAMOA,2014,37,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,37,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,37,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WEST VIRGINIA,2014,37,,-,3,,11,,118,,153,,,-,0,,3,,12,,23,,,-,0,,2,,5,,5,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
ILLINOIS,2014,37,,-,29,,65,,1042,,1325,,,-,3,,9,,92,,229,,,-,7,,34,,384,,230,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
VERMONT,2014,37,1,,1,,6,,65,,59,,1,,0,,2,,12,,18,,,-,0,,1,,1,,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
NEBRASKA,2014,37,,-,4,,12,,141,,230,,,-,1,,7,,65,,65,,,-,1,,13,,102,,46,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
WISCONSIN,2014,37,,-,13,,29,,417,,687,,,-,2,,9,,76,,183,,2,,2,,20,,215,,31,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
NEW JERSEY,2014,37,,-,16,,34,,548,,822,,,-,1,,4,,33,,108,,,-,2,,6,,96,,107,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
UTAH,2014,37,1,,6,,17,,265,,240,,,-,1,,5,,51,,71,,1,,0,,2,,20,,18,,"UTAH
(39.36070082200047, -111.5871285339997)",
MICHIGAN,2014,37,8,,17,,50,,700,,737,,1,,2,,12,,89,,130,,1,,3,,19,,202,,123,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
NEW MEXICO,2014,37,,-,5,,16,,195,,276,,,-,0,,6,,35,,28,,,-,1,,5,,33,,38,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
PENNSYLVANIA,2014,37,16,,24,,56,,937,,1243,,,-,3,,11,,109,,192,,5,,2,,8,,91,,109,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
IDAHO,2014,37,2,,3,,7,,117,,95,,5,,2,,8,,77,,71,,,-,0,,3,,8,,6,,"IDAHO
(43.68263160000049, -114.3637261449997)",
TEXAS,2014,37,116,,89,,543,,2531,,2662,,10,,11,,40,,390,,334,,51,,45,,393,,1327,,1140,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NORTH CAROLINA,2014,37,,-,22,,181,,981,,1076,,,-,0,,5,,26,,50,,,-,4,,119,,362,,104,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
OHIO,2014,37,34,,22,,46,,869,,869,,3,,3,,15,,132,,163,,7,,10,,22,,427,,558,,"OHIO
(40.06021184000048, -82.40425685299965)",
GEORGIA,2014,37,32,,32,,100,,1312,,1481,,,-,2,,6,,70,,97,,9,,19,,34,,574,,486,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
LOUISIANA,2014,37,15,,22,,48,,745,,857,,,-,0,,2,,11,,15,,,-,4,,29,,113,,275,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
NEVADA,2014,37,,-,3,,86,,105,,361,,,-,1,,5,,23,,49,,,-,0,,6,,22,,33,,"NEVADA
(39.493242807000456, -117.07183978499972)",
MISSISSIPPI,2014,37,3,,11,,46,,554,,628,,,-,0,,3,,21,,23,,,-,5,,12,,153,,127,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,37,24,,16,,36,,661,,609,,3,,2,,9,,106,,97,,8,,18,,50,,568,,209,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
NEW YORK CITY,2014,37,30,,18,,40,,690,,844,,4,,1,,5,,53,,73,,11,,6,,11,,214,,230,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OREGON,2014,37,2,,6,,20,,268,,298,,4,,2,,14,,110,,135,,1,,1,,5,,36,,39,,"OREGON
(44.56745218600048, -120.15502977999972)",
OKLAHOMA,2014,37,15,,15,,151,,521,,457,,,-,2,,12,,84,,68,,1,,1,,41,,41,,136,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ARKANSAS,2014,37,26,,14,,36,,398,,421,,,-,2,,6,,63,,59,,8,,9,,198,,714,,148,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
CALIFORNIA,2014,37,46,,95,,177,,3210,,3428,,1,,8,,36,,300,,434,,20,,20,,54,,692,,666,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
INDIANA,2014,37,,-,12,,36,,441,,515,,,-,2,,9,,69,,86,,1,,5,,54,,691,,74,,"INDIANA
(39.76691072200049, -86.14995579899966)",
FLORIDA,2014,37,156,,115,,228,,3704,,3734,,7,,2,,9,,114,,83,,35,,40,,96,,1768,,541,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
SOUTH DAKOTA,2014,37,,-,2,,12,,109,,135,,,-,0,,4,,26,,36,,2,,11,,32,,435,,8,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
MAINE,2014,37,3,,2,,5,,85,,101,,1,,0,,3,,25,,24,,,-,0,,2,,14,,4,,"MAINE
(45.2542257390005, -68.98502952999962)",
WYOMING,2014,37,,-,1,,4,,46,,58,,,-,0,,5,,17,,20,,,-,1,,6,,72,,3,,"WYOMING
(43.235543013000495, -108.10982744299969)",
CONNECTICUT,2014,37,,-,7,,21,,335,,344,,,-,1,,5,,34,,52,,,-,1,,4,,34,,38,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
NEW YORK,2014,37,49,,21,,76,,928,,908,,14,,4,,12,,133,,157,,3,,4,,29,,130,,186,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
SOUTH CAROLINA,2014,37,22,,20,,78,,878,,744,,,-,0,,2,,9,,5,,,-,2,,9,,80,,78,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MONTANA,2014,37,2,,2,,8,,91,,70,,1,,1,,4,,30,,36,,,-,0,,10,,9,,32,,"MONTANA
(47.06652759400049, -109.42441687999968)",
KENTUCKY,2014,37,,-,10,,27,,413,,387,,3,,1,,6,,65,,85,,1,,2,,15,,148,,49,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
ALASKA,2014,37,,-,1,,6,,54,,67,,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"ALASKA
(64.84507631500048, -147.72205669099972)",
DELAWARE,2014,37,,-,2,,10,,86,,84,,,-,0,,2,,8,,11,,,-,1,,4,,46,,3,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
ALABAMA,2014,37,7,,19,,80,,737,,663,,,-,0,,3,,34,,43,,1,,6,,13,,202,,192,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
MISSOURI,2014,37,,-,14,,37,,500,,628,,,-,3,,10,,132,,218,,,-,4,,61,,640,,48,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
HAWAII,2014,37,,-,5,,13,,189,,246,,,-,0,,4,,8,,22,,,-,0,,2,,11,,30,,"HAWAII
(21.304853205000427, -157.85774691599974)",
IOWA,2014,37,1,,9,,24,,348,,451,,,-,2,,14,,145,,145,,2,,6,,45,,138,,54,,"IOWA
(42.469401477000474, -93.81648936699969)",
COLORADO,2014,37,12,,10,,20,,357,,487,,,-,1,,9,,38,,142,,3,,1,,12,,52,,56,,"COLORADO
(38.84384201300048, -106.13360888799969)",
MINNESOTA,2014,37,,-,0,,22,,,-,599,,,-,0,,11,,,-,245,,,-,0,,6,,,-,98,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
PUERTO RICO,2014,37,,-,8,,28,,247,,446,,,-,0,,2,,4,,3,,,-,0,,1,,3,,3,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
GUAM,2014,37,,-,0,,1,,,-,14,,,-,1,,3,,,-,69,,,-,0,,1,,,-,6,,"GUAM
(13.480998894000436, 144.73149801400064)",
ARIZONA,2014,37,12,,18,,32,,606,,686,,,-,1,,6,,51,,212,,6,,6,,29,,202,,246,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
WASHINGTON,2014,37,23,,10,,47,,472,,466,,,-,3,,31,,119,,177,,4,,2,,12,,106,,75,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
NEW HAMPSHIRE,2014,37,,-,4,,9,,120,,161,,1,,0,,2,,10,,21,,,-,0,,2,,11,,6,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,37,,-,2,,8,,84,,94,,,-,0,,2,,4,,,-,,-,0,,14,,24,,218,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
MARYLAND,2014,37,24,,14,,49,,623,,610,,,-,1,,8,,51,,42,,7,,3,,12,,173,,77,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH DAKOTA,2014,37,,-,1,,7,,63,,84,,,-,0,,3,,22,,33,,,-,0,,2,,17,,12,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
MASSACHUSETTS,2014,37,,-,16,,44,,693,,917,,,-,1,,6,,56,,81,,,-,2,,9,,95,,132,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
KANSAS,2014,37,5,,7,,16,,278,,321,,,-,1,,7,,67,,71,,,-,0,,4,,35,,37,,"KANSAS
(38.3477418760005, -98.20077655499966)",
VIRGINIA,2014,37,19,,19,,47,,711,,705,,,-,2,,6,,70,,82,,1,,3,,8,,113,,64,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
UNITED STATES,2014,38,739,,891,,1472,,31590,,35565,,39,,94,,195,,3496,,5043,,196,,326,,741,,12011,,7545,,,
NEW ENGLAND,2014,38,6,,32,,82,,1412,,1717,,1,,3,,16,,144,,200,,,-,4,,19,,183,,418,,,
MID. ATLANTIC,2014,38,107,,90,,149,,3265,,3948,,6,,10,,21,,336,,547,,16,,15,,37,,558,,653,,,
E.N. CENTRAL,2014,38,42,,92,,177,,3557,,4282,,9,,12,,33,,497,,824,,16,,30,,116,,1980,,1033,,,
W.N. CENTRAL,2014,38,3,,39,,84,,1473,,2516,,,-,11,,31,,471,,836,,6,,35,,80,,1385,,314,,,
S. ATLANTIC,2014,38,233,,231,,510,,8759,,9012,,11,,9,,20,,376,,411,,50,,75,,162,,3225,,1446,,,
DIST. OF COL.,2014,38,,-,0,,3,,18,,43,,,-,0,,1,,3,,4,,,-,0,,4,,30,,13,,"DIST. OF COL.
",
E.S. CENTRAL,2014,38,32,,57,,150,,2485,,2389,,4,,5,,15,,234,,255,,20,,33,,66,,1110,,618,,,
W.S. CENTRAL,2014,38,160,,146,,724,,4405,,4643,,3,,16,,50,,555,,504,,61,,67,,463,,2262,,1765,,,
